RunID,CheckSum,StepType,StepLabel,ChannelNumber,SampleIndex,CurveTime,CurvePressure,Weight
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,500,-839,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,510,-839,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,520,-839,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,530,-834,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,540,-834,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,550,-844,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,560,-859,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,570,-854,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,580,-844,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,590,-839,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,600,-844,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,610,-844,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,620,-839,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,630,-844,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,640,-844,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,650,-844,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,660,-839,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,670,-786,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,680,-693,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,690,-600,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,700,-532,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,710,-473,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,720,-424,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,730,-385,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,740,-351,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,750,-327,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,760,-307,0.04013
